timestamp,cps,cps_err,usv_hr
1777068263.275701,7.0,1.8708286933869707,0.087738
1777068265.3218532,6.0,1.7320508075688772,0.075204
1777068267.3336957,6.0,1.7320508075688772,0.075204
1777068269.3651755,4.0,1.4142135623730951,0.050136
1777068271.349971,3.5,1.3228756555322954,0.043869
1777068273.3620663,6.5,1.8027756377319946,0.081471
1777068275.3892398,7.5,1.9364916731037085,0.094005
1777068277.3998713,4.0,1.4142135623730951,0.050136
1777068279.4113717,3.0,1.224744871391589,0.037602
1777068281.4464586,4.0,1.4142135623730951,0.050136
1777068283.4530725,3.5,1.3228756555322954,0.043869
1777068285.469048,5.0,1.5811388300841898,0.06267
1777068287.4984782,3.5,1.3228756555322954,0.043869
1777068289.5069258,6.5,1.8027756377319946,0.081471
1777068291.527181,5.5,1.6583123951777,0.068937
1777068293.5558999,4.0,1.4142135623730951,0.050136
1777068295.573124,3.5,1.3228756555322954,0.043869
1777068297.584478,3.5,1.3228756555322954,0.043869
1777068299.6181228,5.5,1.6583123951777,0.068937
1777068301.6407804,7.0,1.8708286933869707,0.087738
1777068303.6572695,4.0,1.4142135623730951,0.050136
1777068305.6450286,4.0,1.4142135623730951,0.050136
1777068307.656019,5.0,1.5811388300841898,0.06267
1777068309.7338536,6.5,1.8027756377319946,0.081471
1777068311.7099187,6.5,1.8027756377319946,0.081471
1777068313.7321007,3.0,1.224744871391589,0.037602
1777068315.7536101,6.5,1.8027756377319946,0.081471
1777068317.7722013,4.0,1.4142135623730951,0.050136
1777068319.7554672,4.0,1.4142135623730951,0.050136
1777068321.7882612,3.5,1.3228756555322954,0.043869
1777068323.8056211,5.0,1.5811388300841898,0.06267
1777068325.821651,4.0,1.4142135623730951,0.050136
1777068327.8598464,6.0,1.7320508075688772,0.075204
1777068329.834397,5.0,1.5811388300841898,0.06267
1777068331.8578718,4.0,1.4142135623730951,0.050136
1777068333.8899138,2.5,1.118033988749895,0.031335
1777068335.918962,4.0,1.4142135623730951,0.050136
1777068337.9237683,4.0,1.4142135623730951,0.050136
1777068339.9648755,4.0,1.4142135623730951,0.050136
1777068341.9759257,6.5,1.8027756377319946,0.081471
1777068343.9888108,5.5,1.6583123951777,0.068937
1777068346.0164423,5.0,1.5811388300841898,0.06267
1777068348.0310254,6.5,1.8027756377319946,0.081471
1777068350.0553272,8.5,2.0615528128088303,0.106539
1777068352.0725987,4.5,1.5,0.056403
1777068354.0769706,8.5,2.0615528128088303,0.106539
1777068356.107946,6.5,1.8027756377319946,0.081471
1777068358.1180341,7.0,1.8708286933869707,0.087738
1777068360.1380994,8.5,2.0615528128088303,0.106539
1777068362.1521394,5.0,1.5811388300841898,0.06267
1777068364.1475298,8.0,2.0,0.100272
1777068366.1658103,5.5,1.6583123951777,0.068937
1777068368.1796885,10.5,2.29128784747792,0.131607
1777068370.2204034,5.0,1.5811388300841898,0.06267
1777068372.2275574,5.5,1.6583123951777,0.068937
1777068374.2332466,5.5,1.6583123951777,0.068937
1777068376.2646937,5.5,1.6583123951777,0.068937
1777068378.2758327,9.5,2.179449471770337,0.119073
1777068380.3156805,6.0,1.7320508075688772,0.075204
1777068382.2847006,5.0,1.5811388300841898,0.06267
1777068384.329157,5.0,1.5811388300841898,0.06267
1777068386.320512,6.5,1.8027756377319946,0.081471
1777068388.3498726,6.0,1.7320508075688772,0.075204
1777068390.4009185,7.5,1.9364916731037085,0.094005
1777068392.3927553,9.0,2.1213203435596424,0.112806
1777068394.410134,7.5,1.9364916731037085,0.094005
1777068396.4343143,6.5,1.8027756377319946,0.081471
1777068398.4241557,4.5,1.5,0.056403
1777068400.4409325,5.5,1.6583123951777,0.068937
1777068402.5033906,9.0,2.1213203435596424,0.112806
1777068404.4764419,6.5,1.8027756377319946,0.081471
1777068406.5024598,4.5,1.5,0.056403
1777068408.5193274,8.5,2.0615528128088303,0.106539
1777068410.5668063,4.0,1.4142135623730951,0.050136
1777068412.574715,9.5,2.179449471770337,0.119073
1777068414.5915885,9.5,2.179449471770337,0.119073
1777068416.6128283,7.0,1.8708286933869707,0.087738
1777068418.6216793,6.5,1.8027756377319946,0.081471
1777068420.6616285,7.5,1.9364916731037085,0.094005
1777068422.6535718,7.0,1.8708286933869707,0.087738
1777068424.6666827,6.5,1.8027756377319946,0.081471
1777068426.6836073,5.5,1.6583123951777,0.068937
1777068428.7039032,6.5,1.8027756377319946,0.081471
1777068430.7286274,8.5,2.0615528128088303,0.106539
1777068432.7484913,8.0,2.0,0.100272
1777068434.7452638,7.5,1.9364916731037085,0.094005
1777068436.7703798,5.5,1.6583123951777,0.068937
1777068438.783666,4.5,1.5,0.056403
1777068440.8157434,7.5,1.9364916731037085,0.094005
1777068442.8254316,10.5,2.29128784747792,0.131607
1777068444.8690321,9.5,2.179449471770337,0.119073
1777068446.8809397,8.5,2.0615528128088303,0.106539
1777068448.8925538,10.0,2.23606797749979,0.12534
1777068450.9159179,11.0,2.345207879911715,0.137874
1777068452.9248917,7.0,1.8708286933869707,0.087738
1777068454.9508073,6.5,1.8027756377319946,0.081471
1777068456.9856105,5.5,1.6583123951777,0.068937
1777068458.9978805,8.0,2.0,0.100272
1777068461.028805,8.0,2.0,0.100272
1777068463.016494,7.0,1.8708286933869707,0.087738
1777068465.0335813,6.5,1.8027756377319946,0.081471
1777068467.0453584,6.5,1.8027756377319946,0.081471
1777068469.0633738,5.5,1.6583123951777,0.068937
1777068471.0861619,6.0,1.7320508075688772,0.075204
1777068473.1093302,6.5,1.8027756377319946,0.081471
1777068475.1094272,8.0,2.0,0.100272
1777068477.1297643,6.5,1.8027756377319946,0.081471
1777068479.138035,6.5,1.8027756377319946,0.081471
1777068481.1686122,10.0,2.23606797749979,0.12534
1777068483.1781707,7.5,1.9364916731037085,0.094005
1777068485.2069244,6.0,1.7320508075688772,0.075204
1777068487.21749,6.5,1.8027756377319946,0.081471
1777068489.237687,9.0,2.1213203435596424,0.112806
1777068491.253356,5.5,1.6583123951777,0.068937
1777068493.2636237,6.5,1.8027756377319946,0.081471
1777068495.3002143,7.5,1.9364916731037085,0.094005
1777068497.3206887,4.5,1.5,0.056403
1777068499.3327818,5.0,1.5811388300841898,0.06267
1777068501.367338,10.5,2.29128784747792,0.131607
1777068503.3627162,4.0,1.4142135623730951,0.050136
1777068505.392359,5.5,1.6583123951777,0.068937
1777068507.4080765,5.0,1.5811388300841898,0.06267
1777068509.429214,8.0,2.0,0.100272
1777068511.45558,4.5,1.5,0.056403
1777068513.46975,6.0,1.7320508075688772,0.075204
1777068515.4880419,7.0,1.8708286933869707,0.087738
1777068517.5019653,6.5,1.8027756377319946,0.081471
1777068519.5395179,6.5,1.8027756377319946,0.081471
1777068521.5122852,6.5,1.8027756377319946,0.081471
1777068523.5730302,6.0,1.7320508075688772,0.075204
1777068525.5797532,3.5,1.3228756555322954,0.043869
1777068527.6224868,6.0,1.7320508075688772,0.075204
1777068529.6025622,6.0,1.7320508075688772,0.075204
1777068531.6224167,4.0,1.4142135623730951,0.050136
1777068533.6281302,9.0,2.1213203435596424,0.112806
1777068535.6644938,7.0,1.8708286933869707,0.087738
1777068537.677737,6.5,1.8027756377319946,0.081471
1777068539.6989834,7.5,1.9364916731037085,0.094005
1777068541.7284775,8.5,2.0615528128088303,0.106539
1777068543.7397578,7.0,1.8708286933869707,0.087738
1777068545.7351255,9.0,2.1213203435596424,0.112806
1777068547.7822754,4.5,1.5,0.056403
1777068549.8053308,6.5,1.8027756377319946,0.081471
1777068551.8259895,5.5,1.6583123951777,0.068937
1777068553.8254733,4.5,1.5,0.056403
1777068555.8457098,6.5,1.8027756377319946,0.081471
1777068557.8512433,6.0,1.7320508075688772,0.075204
1777068559.879828,6.5,1.8027756377319946,0.081471
1777068561.89196,4.5,1.5,0.056403
1777068563.902192,8.5,2.0615528128088303,0.106539
1777068565.9425044,6.0,1.7320508075688772,0.075204
1777068567.9394608,6.0,1.7320508075688772,0.075204
1777068569.9560168,7.0,1.8708286933869707,0.087738
1777068571.9787343,4.0,1.4142135623730951,0.050136
1777068573.9966044,6.0,1.7320508075688772,0.075204
1777068575.9972494,5.5,1.6583123951777,0.068937
1777068578.0559397,3.0,1.224744871391589,0.037602
1777068580.0457795,4.5,1.5,0.056403
1777068582.054132,3.0,1.224744871391589,0.037602
1777068584.0658238,5.0,1.5811388300841898,0.06267
1777068586.1076808,2.5,1.118033988749895,0.031335
1777068588.130628,4.5,1.5,0.056403
1777068590.1650283,3.0,1.224744871391589,0.037602
1777068592.1614337,7.0,1.8708286933869707,0.087738
1777068594.1701102,6.5,1.8027756377319946,0.081471
1777068596.1981735,6.5,1.8027756377319946,0.081471
1777068598.230743,4.5,1.5,0.056403
1777068600.2122326,4.5,1.5,0.056403
1777068602.2231765,7.5,1.9364916731037085,0.094005
1777068604.2689776,3.5,1.3228756555322954,0.043869
1777068606.2937727,3.0,1.224744871391589,0.037602
1777068608.307987,6.0,1.7320508075688772,0.075204
1777068610.2978363,5.0,1.5811388300841898,0.06267
1777068612.3114338,3.5,1.3228756555322954,0.043869
1777068614.3193762,4.0,1.4142135623730951,0.050136
1777068616.352489,4.0,1.4142135623730951,0.050136
1777068618.3637762,6.5,1.8027756377319946,0.081471
1777068620.3965259,7.5,1.9364916731037085,0.094005
1777068622.407111,4.5,1.5,0.056403
1777068624.425836,10.0,2.23606797749979,0.12534
1777068626.462905,4.0,1.4142135623730951,0.050136
1777068628.4828346,7.5,1.9364916731037085,0.094005
1777068630.4988058,7.0,1.8708286933869707,0.087738
1777068632.484481,11.0,2.345207879911715,0.137874
1777068634.4968457,5.0,1.5811388300841898,0.06267
1777068636.5243592,8.0,2.0,0.100272
1777068638.5571194,6.0,1.7320508075688772,0.075204
1777068640.577848,7.5,1.9364916731037085,0.094005
1777068642.5878983,5.0,1.5811388300841898,0.06267
1777068644.5715337,2.0,1.0,0.025068
1777068646.5886157,5.5,1.6583123951777,0.068937
1777068648.610219,6.5,1.8027756377319946,0.081471
1777068650.654906,3.5,1.3228756555322954,0.043869
1777068652.6697452,5.0,1.5811388300841898,0.06267
1777068654.6925101,1.5,0.8660254037844386,0.018801
1777068656.7190557,6.0,1.7320508075688772,0.075204
1777068658.7268016,9.0,2.1213203435596424,0.112806
1777068660.750944,3.0,1.224744871391589,0.037602
1777068662.7593222,5.5,1.6583123951777,0.068937
1777068664.7828977,5.5,1.6583123951777,0.068937
1777068666.757833,6.0,1.7320508075688772,0.075204
1777068668.8232574,10.0,2.23606797749979,0.12534
1777068670.8388906,5.0,1.5811388300841898,0.06267
1777068672.821992,6.0,1.7320508075688772,0.075204
1777068674.835606,9.5,2.179449471770337,0.119073
1777068676.8538272,7.0,1.8708286933869707,0.087738
1777068678.88669,7.5,1.9364916731037085,0.094005
1777068680.907489,3.0,1.224744871391589,0.037602
1777068682.9174223,7.0,1.8708286933869707,0.087738
1777068684.9171152,4.0,1.4142135623730951,0.050136
1777068686.9323192,5.0,1.5811388300841898,0.06267
1777068688.946025,5.5,1.6583123951777,0.068937
1777068690.9763446,7.0,1.8708286933869707,0.087738
1777068692.9839973,5.0,1.5811388300841898,0.06267
1777068695.0132384,7.5,1.9364916731037085,0.094005
1777068697.0195615,7.5,1.9364916731037085,0.094005
1777068699.0811093,6.5,1.8027756377319946,0.081471
1777068701.061306,9.0,2.1213203435596424,0.112806
1777068703.074093,7.0,1.8708286933869707,0.087738
1777068705.095943,6.5,1.8027756377319946,0.081471
1777068707.1283696,4.0,1.4142135623730951,0.050136
1777068709.1360652,6.5,1.8027756377319946,0.081471
1777068711.167649,6.0,1.7320508075688772,0.075204
1777068713.1959112,6.5,1.8027756377319946,0.081471
1777068715.1746328,4.0,1.4142135623730951,0.050136
1777068717.1902907,6.5,1.8027756377319946,0.081471
1777068719.250828,10.0,2.23606797749979,0.12534
1777068721.2420495,4.0,1.4142135623730951,0.050136
1777068723.2523267,5.0,1.5811388300841898,0.06267
1777068725.2859433,8.5,2.0615528128088303,0.106539
1777068727.298183,11.0,2.345207879911715,0.137874
1777068729.3119109,6.0,1.7320508075688772,0.075204
1777068731.3515844,5.0,1.5811388300841898,0.06267
1777068733.3639448,5.0,1.5811388300841898,0.06267
1777068735.3829648,6.0,1.7320508075688772,0.075204
1777068737.3605385,5.0,1.5811388300841898,0.06267
1777068739.3761244,6.5,1.8027756377319946,0.081471
1777068741.4109738,6.5,1.8027756377319946,0.081471
1777068743.4526837,8.0,2.0,0.100272
1777068745.4769516,5.5,1.6583123951777,0.068937
1777068747.4457138,10.5,2.29128784747792,0.131607
1777068749.4734414,4.5,1.5,0.056403
1777068751.5002356,6.0,1.7320508075688772,0.075204
1777068753.5293932,8.0,2.0,0.100272
1777068755.5232656,6.0,1.7320508075688772,0.075204
1777068757.5350657,7.5,1.9364916731037085,0.094005
1777068759.5535798,3.0,1.224744871391589,0.037602
1777068761.5779095,6.5,1.8027756377319946,0.081471
1777068763.5907395,5.0,1.5811388300841898,0.06267
1777068765.6308157,6.5,1.8027756377319946,0.081471
1777068767.6139464,11.0,2.345207879911715,0.137874
1777068769.634953,6.5,1.8027756377319946,0.081471
1777068771.662167,8.5,2.0615528128088303,0.106539
1777068773.6869476,5.5,1.6583123951777,0.068937
1777068775.7125275,4.0,1.4142135623730951,0.050136
1777068777.7503793,8.0,2.0,0.100272
1777068779.751182,6.0,1.7320508075688772,0.075204
1777068781.7658665,7.0,1.8708286933869707,0.087738
1777068783.7824667,8.0,2.0,0.100272
1777068785.816026,4.5,1.5,0.056403
1777068787.829116,8.5,2.0615528128088303,0.106539
1777068789.8117702,8.0,2.0,0.100272
1777068791.8272235,9.0,2.1213203435596424,0.112806
1777068793.841345,5.5,1.6583123951777,0.068937
1777068795.861302,8.5,2.0615528128088303,0.106539
1777068797.871545,7.5,1.9364916731037085,0.094005
1777068799.898092,5.0,1.5811388300841898,0.06267
1777068801.92207,7.0,1.8708286933869707,0.087738
1777068803.936875,6.5,1.8027756377319946,0.081471
1777068805.9766154,3.0,1.224744871391589,0.037602
1777068807.964926,6.0,1.7320508075688772,0.075204
1777068809.987296,5.0,1.5811388300841898,0.06267
1777068812.015531,2.5,1.118033988749895,0.031335
1777068814.0347888,5.5,1.6583123951777,0.068937
1777068816.0545416,3.0,1.224744871391589,0.037602
1777068818.0807242,6.0,1.7320508075688772,0.075204
1777068820.085423,3.0,1.224744871391589,0.037602
1777068822.0941336,6.0,1.7320508075688772,0.075204
1777068824.114641,5.5,1.6583123951777,0.068937
1777068826.139955,7.0,1.8708286933869707,0.087738
1777068828.1572142,7.0,1.8708286933869707,0.087738
1777068830.1466253,4.5,1.5,0.056403
1777068832.170175,7.5,1.9364916731037085,0.094005
1777068834.1959922,7.0,1.8708286933869707,0.087738
1777068836.2509656,7.0,1.8708286933869707,0.087738
1777068838.216106,7.0,1.8708286933869707,0.087738
1777068840.2353072,5.5,1.6583123951777,0.068937
1777068842.264475,4.0,1.4142135623730951,0.050136
1777068844.3086915,6.5,1.8027756377319946,0.081471
1777068846.3317509,4.5,1.5,0.056403
